77  53
16  44
54  61
83  86
36  44
6  47
63  73
99  96
76  21
40  61
33  49
65  79
51  55
28  43
31  28
98  33
84  44
8  65
70  99
68  86
99  81
0  62
92  42
53  13
32  67
55  54
73  77
41  95
65  83
54  6
63  37
10  52
50  65
70  1
17  3
64  17
34  75
2  61
1  84
41  69
31  69
78  0
46  46
82  42
38  66
11  52
73  11
38  84
40  68
32  53
21  12
95  87
12  26
22  56
77  97
36  22
57  5
14  9
53  36
93  39
33  99
64  76
62  48
97  68
52  90
25  2
34  84
73  24
4  62
91  64
44  77
43  44
73  67
23  12
13  42
66  5
26  79
93  51
50  38
23  70
60  20
20  10
42  76
27  97
44  24
51  86
4  73
94  77
54  49
58  71
90  87
69  43
61  3
45  56
82  79
16  79
9  97
5  70
20  90
99  30
72  85
96  15
95  5
40  29
63  98
72  94
31  16
28  57
42  59
49  54
67  27
46  22
9  5
48  97
25  65
84  94
93  14
76  27
15  38
78  92
24  5
35  28
11  95
71  12
47  93
1  63
14  52
59  38
44  16
37  57
68  95
16  22
59  31
74  71
7  12
72  69
12  10
44  28
8  11
60  72
3  35
86  78
40  73
83  25
5  31
30  58
36  85
34  30
6  69
41  92
97  65
8  28
64  93
2  60
61  1
81  54
64  36
31  90
41  29
71  95
48  28
22  92
56  89
54  21
75  98
1  92
0  95
8  95
68  35
66  42
89  90
8  78
41  86
32  87
26  19
68  15
29  66
83  68
31  27
21  80
90  37
89  84
13  53
1  66
94  13
67  12
64  14
23  15
71  64
56  72
81  77
4  38
43  73
84  97
17  64
89  49
8  13
39  98
31  98
90  35
63  51
86  47
29  22
12  15
59  86
7  18
10  7
7  13
74  51
64  33
5  17
21  90
59  5
37  31
23  99
58  19
71  73
56  33
0  27
54  87
37  42
37  88
10  5
46  77
76  66
41  74
12  64
60  85
79  55
85  55
19  11
60  54
16  76
37  97
74  87
57  3
84  71
83  79
98  49
20  70
32  25
7  61
13  59
70  32
33  70
35  62
50  95
22  74
80  79
97  24
37  8
30  13
75  97
58  57
85  54
7  96
26  73
64  91
53  50
88  94
72  48
31  20
16  9
95  21
99  56
30  20
40  12
49  34
46  0
40  84
26  61
31  48
42  48
17  88
46  50
38  71
73  46
89  6
56  51
11  51
13  27
34  14
91  65
66  53
37  37
64  95
93  2
54  31
21  18
26  30
4  90
3  8
16  93
26  69
85  5
69  71
75  44
94  76
26  47
55  33
2  23
71  6
8  2
15  15
14  43
45  81
49  40
33  20
42  81
29  36
78  99
9  44
16  1
24  30
71  72
33  31
21  84
28  1
24  35
48  72
31  33
7  56
96  55
77  85
52  63
2  97
11  14
74  13
70  30
9  36
7  45
82  8
68  93
58  69
91  73
91  81
4  4
17  74
18  10
42  20
78  86
1  33
86  65
75  78
73  7
49  72
51  82
79  63
62  60
7  76
49  28
44  29
95  97
35  18
8  58
34  24
47  1
83  32
27  8
35  9
18  59
7  27
99  66
45  95
59  29
24  55
12  67
44  48
14  22
83  77
21  33
87  16
2  89
66  33
30  99
16  38
24  78
1  14
30  15
21  99
14  96
0  59
1  72
89  26
13  55
18  85
72  97
81  18
40  49
33  71
46  27
81  99
2  36
86  58
11  55
18  17
47  19
15  17
3  6
90  45
82  13
48  35
44  21
88  22
93  42
58  0
65  80
28  16
93  13
70  13
72  62
76  24
44  82
94  7
15  55
88  78
96  90
1  61
24  50
0  10
43  62
45  18
44  96
55  8
0  39
32  85
35  38
56  29
84  36
96  37
19  22
67  92
58  46
33  57
41  81
12  38
99  33
71  31
12  24
46  33
28  46
5  95
15  91
